sno,ip_address,ip_range,as_number,geolocation,as_name,latency
1,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",23.0
1,129.250.5.62,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",92.0
1,180.87.108.162,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",93.0
1,180.87.108.193,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",94.0
1,142.250.166.254,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",95.0
1,142.251.241.0,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",93.0
1,108.170.240.242,108.170.192.0-108.170.255.255,15169,US,"GOOGLE, US",94.0
1,142.251.229.225,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",122.0
1,108.170.235.12,108.170.192.0-108.170.255.255,15169,US,"GOOGLE, US",170.0
1,142.251.68.50,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",206.0
1,142.250.234.138,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",208.0
1,108.170.243.1,108.170.192.0-108.170.255.255,15169,US,"GOOGLE, US",206.0
1,209.85.243.49,209.85.128.0-209.85.255.255,15169,US,"GOOGLE, US",205.0
1,172.217.12.110,172.217.12.0-172.217.12.255,15169,US,"GOOGLE, US",206.0
2,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",3.0
2,129.250.5.46,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",114.0
2,129.250.4.175,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",114.0
2,120.88.53.30,120.88.48.0-120.88.55.255,2914,JP,"NTT-LTD-2914, US",115.0
2,122.1.245.210,122.1.0.0-122.1.255.255,4713,JP,"OCN NTT Communications Corporation, JP",114.0
2,211.0.206.174,211.0.0.0-211.0.255.255,4713,JP,"OCN NTT Communications Corporation, JP",121.0
3,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
3,129.250.5.62,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",95.0
3,180.87.108.162,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",93.0
3,180.87.108.197,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",130.0
3,180.87.15.81,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",130.0
3,180.87.112.31,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",128.0
3,157.197.66.45,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",155.0
3,157.197.66.45,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",155.0
3,157.197.80.34,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",159.0
3,157.197.83.110,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",156.0
4,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
4,129.250.5.62,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",95.0
4,180.87.108.162,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",93.0
4,180.87.108.193,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",93.0
4,180.87.12.129,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",142.0
5,129.250.9.241,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
5,220.101.73.165,220.101.0.0-220.101.127.255,7474,AU,"OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU",3.0
5,124.19.61.124,124.19.0.0-124.19.127.255,7474,AU,"OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU",2.0
6,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",7.0
6,129.250.2.97,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",93.0
6,116.51.17.26,116.51.16.0-116.51.31.255,2914,SG,"NTT-LTD-2914, US",93.0
7,129.250.3.126,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",20.0
7,129.250.3.79,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",144.0
7,129.250.201.90,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",144.0
8,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
8,129.250.5.46,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",113.0
8,129.250.6.127,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",114.0
8,203.105.72.58,203.105.64.0-203.105.95.255,2914,JP,"NTT-LTD-2914, US",115.0
8,203.178.139.36,203.178.128.0-203.178.255.255,2500,JP,"WIDE-BB WIDE Project, JP",117.0
8,131.113.4.185,131.113.0.0-131.113.255.255,38635,JP,"KEIO-NET Keio University, JP",118.0
8,131.113.1.169,131.113.0.0-131.113.255.255,38635,JP,"KEIO-NET Keio University, JP",117.0
8,131.113.132.139,131.113.0.0-131.113.255.255,38635,JP,"KEIO-NET Keio University, JP",117.0
9,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
9,129.250.7.49,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",4.0
9,202.68.67.251,202.68.66.0-202.68.67.255,2914,AU,"NTT-LTD-2914, US",1.0
9,142.167.200.35,142.167.200.0-142.167.203.255,855,CA,"CANET-ASN-4, CA",153.0
10,129.250.9.241,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",7.0
10,103.13.83.171,103.13.80.0-103.13.83.255,2914,AU,"NTT-LTD-2914, US",1.0
10,169.53.16.236,169.53.0.0-169.53.63.255,36351,US,"SOFTLAYER, US",147.0
10,169.46.118.131,169.46.0.0-169.46.127.255,36351,US,"SOFTLAYER, US",178.0
10,169.46.118.163,169.46.0.0-169.46.127.255,36351,US,"SOFTLAYER, US",177.0
10,169.46.118.165,169.46.0.0-169.46.127.255,36351,US,"SOFTLAYER, US",174.0
11,129.250.3.176,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
11,129.250.5.62,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",93.0
11,180.87.108.162,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",93.0
11,180.87.108.197,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",272.0
11,180.87.15.17,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",276.0
11,180.87.181.207,180.87.128.0-180.87.191.255,6453,IN,"AS6453, US",282.0
11,64.86.252.32,64.86.0.0-64.86.255.255,6453,US,"AS6453, US",276.0
11,207.45.219.128,207.45.192.0-207.45.223.255,6453,US,"AS6453, US",282.0
11,207.45.219.137,207.45.192.0-207.45.223.255,6453,US,"AS6453, US",284.0
11,216.6.87.8,216.6.0.0-216.6.127.255,6453,US,"AS6453, US",279.0
11,216.6.87.27,216.6.0.0-216.6.127.255,6453,US,"AS6453, US",286.0
12,129.250.9.243,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
12,202.68.65.82,202.68.64.0-202.68.65.255,2914,AU,"NTT-LTD-2914, US",1.0
12,202.68.65.82,202.68.64.0-202.68.65.255,2914,AU,"NTT-LTD-2914, US",1.0
12,113.197.15.29,113.197.0.0-113.197.15.255,7575,AU,"AARNET-AS-AP Australian Academic and Research Network AARNet, AU",22.0
13,129.250.7.32,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
13,129.250.3.44,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
13,129.250.2.43,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",45.0
13,129.250.7.66,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",70.0
13,129.250.5.62,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",87.0
13,180.87.108.162,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",80.0
13,180.87.108.193,180.87.0.0-180.87.127.255,6453,IN,"AS6453, US",79.0
13,142.250.166.254,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",71.0
13,209.85.244.156,209.85.128.0-209.85.255.255,15169,US,"GOOGLE, US",73.0
13,108.170.240.164,108.170.192.0-108.170.255.255,15169,US,"GOOGLE, US",80.0
13,72.14.232.222,72.14.192.0-72.14.255.255,15169,US,"GOOGLE, US",130.0
13,74.125.37.14,74.125.0.0-74.125.255.255,15169,US,"GOOGLE, US",108.0
13,216.239.48.246,216.239.32.0-216.239.63.255,15169,US,"GOOGLE, US",828.0
13,142.251.68.50,142.250.0.0-142.251.255.255,15169,US,"GOOGLE, US",176.0
13,74.125.253.150,74.125.0.0-74.125.255.255,15169,US,"GOOGLE, US",187.0
13,108.170.242.225,108.170.192.0-108.170.255.255,15169,US,"GOOGLE, US",174.0
13,209.85.243.49,209.85.128.0-209.85.255.255,15169,US,"GOOGLE, US",183.0
13,172.217.12.110,172.217.12.0-172.217.12.255,15169,US,"GOOGLE, US",176.0
14,129.250.7.30,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
14,129.250.7.78,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",9.0
14,129.250.6.129,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",9.0
15,129.250.7.30,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",2.0
15,129.250.2.128,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
15,129.250.8.90,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",31.0
15,222.237.11.113,222.232.0.0-222.239.255.255,9318,KR,"SKB-AS SK Broadband Co Ltd, KR",38.0
15,157.197.86.2,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",39.0
15,157.197.82.214,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",39.0
15,157.197.83.110,157.197.64.0-157.197.127.255,6619,KR,"SAMSUNGSDS-AS-KR SamsungSDS Inc., KR",46.0
16,129.250.7.30,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",1.0
16,129.250.2.43,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",51.0
16,129.250.6.94,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",45.0
16,116.0.93.210,116.0.93.0-116.0.93.255,6453,SG,"AS6453, US",45.0
16,116.0.93.137,116.0.93.0-116.0.93.255,6453,SG,"AS6453, US",45.0
16,116.0.67.122,116.0.64.0-116.0.95.255,6453,SG,"AS6453, US",128.0
17,129.250.7.32,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",12.0
17,129.250.7.80,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",9.0
17,129.250.6.127,129.250.0.0-129.250.255.255,2914,US,"NTT-LTD-2914, US",9.0
17,61.120.146.118,61.120.144.0-61.120.159.255,2914,JP,"NTT-LTD-2914, US",9.0
18,61.200.80.86,61.200.80.0-61.200.95.255,2914,JP,"NTT-LTD-2914, US",2.0
18,203.83.223.21,203.83.220.0-203.83.223.255,16509,SG,"AMAZON-02, US",82.0
